GeneSymbol,17-002,17-003,17-004
zfp57,0.667779146,,
zfp62,0.422251304,,
zfp64,0.402468358,,
zfp82,0.386640782,,
zfp90,0.577621732,,
zfp91,0.281346452,,
zfp92,0.56656878,,
zfp95,0.632086145,,
zfpl1,0.349391078,,
zfpm1,0.443411117,,
zfpm2,0.664938129,,
zfr,0.545531657,,
zfr2,0.61926808,,
zfx,0.16573411,,
zfy,0.659810677,,
zfyve1,0.794802354,,
zfyve16,0.603102914,,
zfyve19,0.67126932,,
zfyve20,0.22869305,,
zfyve21,0.488425087,,
zfyve26,0.070776913,,
zfyve27,0.459997062,,
zfyve28,0.620325779,,
zfyve9,0.57555577,,
zgpat,0.66950127,,
zhx1,0.250028923,,
zhx2,0.902608034,,
zhx3,0.394869034,,
zic1,0.489073984,,
zic2,0.776548807,,
zic3,0.516626401,,
zic4,0.691152256,,
zic5,0.672794921,,
zik1,0.606936644,,
zim2,0.39031684,,
zim3,0.581103577,,
zkscan1,0.58312539,,
zkscan2,0.583698298,,
zkscan3,0.441456846,,
zkscan4,0.353315157,,
zkscan5,0.473416288,,
zmat1,0.688032232,,
zmat2,0.530080427,,
zmat3,0.938309691,,
zmat4,0.641712498,,
zmat5,0.414375431,,
zmiz1,0.794727382,,
zmiz2,0.028640643,,
zmpste24,0.814614636,,
zmym1,0.0554669,,
zmym2,0.318490719,,
zmym3,0.653464445,,
zmym4,0.481546184,,
zmym5,0.225116441,,
zmym6,0.344163023,,
zmynd10,0.666316372,,
zmynd11,0.066639538,,
zmynd12,0.651309088,,
zmynd15,0.668252704,,
zmynd17,0.549265626,,
zmynd19,0.459790209,,
zmynd8,0.202811947,,
znf10,0.072691864,,
znf100,0.431907888,,
znf101,0.6229367,,
znf107,0.767889003,,
znf114,0.715317037,,
znf117,0.552050661,,
znf12,0.502001917,,
znf121,0.62471222,,
znf124,0.402919179,,
znf131,0.940840893,,
znf132,0.604754699,,
znf133,0.408540487,,
znf134,0.700656947,,
znf135,0.709682556,,
znf136,0.893581898,,
znf137,0.480146408,,
znf138,0.241144499,,
znf14,0.933512483,,
znf140,0.620374512,,
znf141,0.697247416,,
znf142,0.300473116,,
znf143,0.879966303,,
znf146,0.308732644,,
znf148,0.260603092,,
znf154,0.903445771,,
znf155,0.639455198,,
znf157,0.553282449,,
znf16,0.922482577,,
znf160,0.910933729,,
znf165,0.472177646,,
znf167,0.690866191,,
znf169,0.604081626,,
znf17,0.273774513,,
